Name,Short,Gender,Debut,Company,Members,Orig Member number,Fanclub Name,Active
(G)I-DLE,,Female,2/05/2018,Cube,5,6,,Yes
100%,,Male,18/09/2012,TOP Media,4,7,Perfection,Yes
14U,,Male,17/04/2017,BG,14,14,,No
15&,,Female,5/10/2012,JYP,2,2,,No
1TEAM,,Male,27/03/2019,LiveWorks,5,5,,No
1the9,,Male,9/02/2019,MBK,9,9,,Yes
24K,,Male,6/09/2012,Choeun,5,6,24U,Yes
2AM,,Male,21/06/2008,JYP| Big Hit,4,4,I Am,No
2EYES,,Female,20/07/2013,SidusHQ,4,5,,No
2NE1,,Female,6/05/2009,YG,4,4,Blackjack,No
2PM,,Male,4/07/2008,JYP,6,7,Hottest,Yes
2Z,Tuzi,Male,14/01/2020,Morph,5,5,,Yes
3YE,,Female,21/05/2019,GH,3,3,,Yes
4Minute,,Female,15/06/2009,Cube,5,5,4nia,No
4TEN,,Female,26/08/2014,Jungle,4,4,,No
8Eight,,Male,6/09/2007,Big Hit,3,3,Sweet Voice,No
8TURN,,Male,30/01/2023,MNH,8,8,,Yes
9Muses,Nine Muses,Female,12/08/2010,Star Empire,4,9,MINE,No
A.C.E,ACE,Male,23/05/2017,Beat,5,5,Choice,Yes
A.cian,,Male,10/10/2012,Wings,4,5,,No
A.DE,,Female,23/07/2016,2ABLE,6,7,,No
A6P,,Male,20/05/2015,DS,6,6,,No
AB6IX,,Male,22/05/2019,Brand New,4,5,ABNEW,Yes
ABLUE,,Male,23/10/2022,J-Star,6,6,BLUEVERY,Yes
ABRY,,Female,15/11/2017,withHC,4,4,,Yes
ADYA,,Female,,Starting House,5,5,,Yes
aespa,?spa,Female,17/11/2020,SM,4,4,My,Yes
After School,,Female,15/01/2009,Pledis,6,5,Playgirlz,No
AIMERS,,Male,17/11/2022,Hyper Rhythm,6,6,AIMING,Yes
AiRiSu,,Female,25/07/2018,Jang,4,4,,No
A-JAX,,Male,1/06/2012,DSP,5,7,A-LIGHT,No
ALICE,ELRIS,Female,1/07/2017,IOK Company,7,5,,Yes
AlphaBat,,Male,14/11/2013,Simtong,5,9,,Yes
ANS,,Female,16/09/2019,ANS,8,6,,No
AOA,,Female,30/07/2012,FNC,4,8,ELVIS,Yes
API,,Female,19/04/2019,BRICKWORKS,5,5,,Yes
Apink,,Female,19/04/2011,Plan A,5,7,Pink Panda,Yes
Apple.B,,Female,1/08/2017,GH,5,5,,No
April,,Female,24/08/2015,DSP,6,6,Fineapple,No
