Stage Name Stage Name,Full Name Full Name,Date of Birth Date of Birth,Group Group,Country Country,Height,Weight,Birthplace Birthplace,Gender
Taeyeon,Kim Taeyeon,3/9/1989,SNSD,South Korea,160,44,Jeonju,F
Sunny,Lee Sunkyu,5/15/1989,SNSD,South Korea,158,43,California,F
Tiffany,Hwang Miyoung,8/1/1989,SNSD,South Korea,163,50,San Francisco,F
Hyoyeon,Kim Hyoyeon,9/22/1989,SNSD,South Korea,158,48,Incheon,F
Yuri,Kwon Yuri,12/5/1989,SNSD,South Korea,167,45,Goyang,F
Sooyoung,Choi Sooyoung,2/10/1990,SNSD,South Korea,170,48,Gwangju,F
Yoona,Im Yoona,5/30/1990,SNSD,South Korea,166,47,Seoul,F
Seohyun,Seo Joohyun,6/28/1991,SNSD,South Korea,168,48,Seoul,F
Jessica,Jessica Jung,4/18/1989,,South Korea,0,0,,F
CL,Lee Chaerin,2/26/1991,2NE1,South Korea,0,0,,F
Bom,Park Bom,3/24/1984,2NE1,South Korea,0,0,,F
Dara,Park Sandara,11/12/1984,2NE1,South Korea,0,0,,F
Minzy,Kong Minji,1/18/1994,2NE1,South Korea,0,0,,F
Hyorin,Kim Hyojung,12/11/1990,SISTAR,South Korea,0,0,,F
Bora,Yoon Bora,12/30/1989,SISTAR,South Korea,0,0,,F
Soyou,Kang Jihyun,2/12/1992,SISTAR,South Korea,0,0,,F
Dasom,Kim Dasom,5/6/1993,SISTAR,South Korea,0,0,,F
Jihyun,Nam Jihyun,1/9/1990,4minute,South Korea,167,0,Seoul,F
Gayoon,Heo Gayoon,5/18/1990,4minute,South Korea,165,0,Seoul,F
Jiyoon,Jeon Jiyoon,10/15/1990,4minute,South Korea,165,0,Seoul,F
HyunA,Kim Hyuna,6/6/1992,4minute,South Korea,164,0,Jeolla,F
Sohyun,Kwon Sohyun,8/30/1994,4minute,South Korea,162,0,Seoul,F
Jimin,Shin Jimin,1/8/1991,,South Korea,160,43,Seoul,F
Choa,Park Choa,3/6/1990,,South Korea,160,42,Incheon,F
Yuna,Seo Yuna,12/30/1992,AoA,South Korea,163,45,Busan,F
Yookyung,Seo Yookyung,3/15/1993,,South Korea,167,48,,F
Hyejeong,Shin Hyejeong,8/10/1993,AoA,South Korea,170,48,Seoul,F
Mina,Kwon Mina,9/21/1993,,South Korea,159,43,Busan,F
Seolhyun,Kim Seolhyun,1/3/1995,AoA,South Korea,167,47,Bucheon,F
Chanmi,Kim Chanmi,6/19/1996,AoA,South Korea,166,47,Gumi,F
Sojin,Park Sojin,5/21/1986,Girl's Day,South Korea,167,47,Daegu,F
Yura,Kim Ahyoung,11/6/1992,Girl's Day,South Korea,168,49,Ulsan,F
Minah,Bang Minah,5/13/1993,Girl's Day,South Korea,165,47,Incheon,F
Hyeri,Lee Hyeri,6/9/1994,Girl's Day,South Korea,167,46,Gwangju,F
Jea,Kim Hyojin,9/18/1981,Brown Eyed Girls,South Korea,0,0,,F
Miryo,Jo Mihye,11/2/1981,Brown Eyed Girls,South Korea,0,0,,F
Narsha,Park Hyojin,12/28/1981,Brown Eyed Girls,South Korea,0,0,,F
Gain,Son Gain,9/20/1987,Brown Eyed Girls,South Korea,0,0,,F
Chorong,Park Chorong,3/3/1991,Apink,South Korea,165,0,Chungwongoon,F
Bomi,Yoon Bomi,8/13/1993,Apink,South Korea,163,0,Suwon,F
