,name,geometry
0,Vatican City,POINT (12.4533865 41.9032822)
1,San Marino,POINT (12.4417702 43.9360958)
2,Vaduz,POINT (9.5166695 47.1337238)
3,Lobamba,POINT (31.1999971 -26.4666675)
4,Luxembourg,POINT (6.1300028 49.6116604)
5,Palikir,POINT (158.1499743 6.9166437)
6,Majuro,POINT (171.3800002 7.1030043)
7,Funafuti,POINT (179.2166471 -8.516652)
8,Melekeok,POINT (134.6265485 7.4873962)
9,Bir Lehlou,POINT (-9.6525222 26.1191667)
10,Monaco,POINT (7.4069132 43.7396457)
11,Tarawa,POINT (173.0175708 1.3381875)
12,Moroni,POINT (43.2402441 -11.7041577)
13,Andorra,POINT (1.5265942551654812 42.5107534941671)
14,Port-of-Spain,POINT (-61.5170309 10.6519971)
15,Kigali,POINT (30.0585859 -1.9516442)
16,Mbabane,POINT (31.1333345 -26.3166508)
17,Juba,POINT (31.5800256 4.8299752)
18,The Hague,POINT (4.2699613 52.0800368)
19,Ljubljana,POINT (14.514969 46.0552883)
20,Bratislava,POINT (17.1169808 48.1500183)
21,Doha,POINT (51.5329679 25.286556)
22,Podgorica,POINT (19.2663069 42.4659725)
23,Sri Jayawardenepura Kotte,POINT (79.949993 6.9000039)
24,Baguio,POINT (120.5699426 16.4299907)
25,Dodoma,POINT (35.7500036 -6.1833061)
26,Bern,POINT (7.4669755 46.9166828)
27,Laayoune,POINT (-13.2000059 27.1499823)
28,Pristina,POINT (21.1659843 42.6667096)
29,Roseau,POINT (-61.387013 15.3010156)
30,Djibouti,POINT (43.1480017 11.5950145)
31,Putrajaya,POINT (101.6950374044619 2.9325152122667406)
32,Kyoto,POINT (135.7480521 35.0319381)
33,Banjul,POINT (-16.5917015 13.4538765)
34,Skopje,POINT (21.4334615 42.0000061)
35,Bridgetown,POINT (-59.6165267 13.1020026)
36,Porto-Novo,POINT (2.6166255 6.483311)
37,Bujumbura,POINT (29.3600061 -3.3760872)
38,Kingstown,POINT (-61.220236420747256 13.155756013621149)
39,Castries,POINT (-60.99287543435381 14.007874585883364)
40,Basseterre,POINT (-62.7170093 17.3020305)
41,Port Louis,POINT (57.4999939 -20.1666386)
42,Saint George's,POINT (-61.7416432 12.0526334)
43,Manama,POINT (50.5830517 26.2361363)
44,Saint John's,POINT (-61.8500338 17.1180365)
45,Montevideo,POINT (-56.18682337831074 -34.90537638970807)
46,Lomé,POINT (1.2208113 6.1338829)
47,Tunis,POINT (10.1796781 36.8027781)
48,Abu Dhabi,POINT (54.3665934 24.4666836)
49,Ashgabat,POINT (58.3832991 37.9499949)
50,Lusaka,POINT (28.2813817 -15.4146984)
51,Harare,POINT (31.0427636 -17.8158438)
52,Dili,POINT (125.5794559 -8.5593884)
53,Port Vila,POINT (168.3166406 -17.7333504)
54,Tegucigalpa,POINT (-87.2194752 14.1039908)
55,Georgetown,POINT (-58.1670286 6.8019737)
56,Reykjavík,POINT (-21.936546009025054 64.14345946317033)
57,Port-au-Prince,POINT (-72.3379804 18.5429705)
58,Kampala,POINT (32.5813777 0.3186048)
59,Paramaribo,POINT (-55.1670309 5.8350301)
60,Niamey,POINT (2.1147102 13.5186518)
61,Dushanbe,POINT (68.7738794 38.5600352)
62,Asunción,POINT (-57.62583375528301 -25.29067083610963)
63,Managua,POINT (-86.2704375 12.1549624)
64,Freetown,POINT (-13.2361616 8.4719573)
65,Islamabad,POINT (73.08063017764825 33.689368483707085)
66,Kathmandu,POINT (85.3146964 27.7186378)
67,Bloemfontein,POINT (26.2299129 -29.1199939)
68,Pretoria,POINT (28.2274832 -25.7049747)
69,Port Moresby,POINT (147.1925036 -9.4647078)
70,Honiara,POINT (159.9497657 -9.4379943)
71,Panama City,POINT (-79.534983 8.969963)
72,Rabat,POINT (-6.8364082 34.0253073)
73,Chi?in?u,POINT (28.8577111 47.0050236)
74,Maputo,POINT (32.5872171 -25.9533316)
75,Mogadishu,POINT (45.3647318 2.0686272)
76,Muscat,POINT (58.37831058458708 23.58517901476684)
77,Colombo,POINT (79.8577506 6.9319658)
78,Ulaanbaatar,POINT (106.9146699 47.9186193)
79,Windhoek,POINT (17.0835461 -22.5700061)
